channel_id,video_id,query,slant,conservative_landmark_follows,liberal_landmark_follows,cached,error,description
UCmyD0_-2Oowkfwc_Raghclw,97sL7qz0ft4,97sL7qz0ft4,0.62963,22.0,5.0,True,,
UCmyD0_-2Oowkfwc_Raghclw,tz59QoGTt-o,tz59QoGTt-o,-0.6842105263157895,3.0,16.0,,,
UCmyD0_-2Oowkfwc_Raghclw,OjS0Xeo-SB8,OjS0Xeo-SB8,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,hLAs2KZhWx8,hLAs2KZhWx8,-0.927797833935018,20.0,534.0,,,
UCmyD0_-2Oowkfwc_Raghclw,PL2UOLNvYGg,PL2UOLNvYGg,-0.7317073170731707,11.0,71.0,,,
UCmyD0_-2Oowkfwc_Raghclw,heHAYH_KVBY,heHAYH_KVBY,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,r9P0DvysnUA,r9P0DvysnUA,-0.91333,13.0,287.0,True,,
UCmyD0_-2Oowkfwc_Raghclw,DwajsIguL_Y,DwajsIguL_Y,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,muG7FlhejDk,muG7FlhejDk,-1.0,0.0,9.0,,,
UCmyD0_-2Oowkfwc_Raghclw,3R2iDL-HkFU,3R2iDL-HkFU,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,l11BiiTsDx8,l11BiiTsDx8,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,2cZw8lI8EK4,2cZw8lI8EK4,-1.0,0.0,20.0,,,
UCmyD0_-2Oowkfwc_Raghclw,aGEsPT56xuw,aGEsPT56xuw,-1.0,0.0,4.0,,,
UCmyD0_-2Oowkfwc_Raghclw,BVCcjRLyWv8,BVCcjRLyWv8,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,yVaCfgZ7RWI,yVaCfgZ7RWI,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,-pLajm7M5x4,-pLajm7M5x4,-0.856,9.0,116.0,,,
UCmyD0_-2Oowkfwc_Raghclw,hgI3jxS7kSA,hgI3jxS7kSA,,,,,True,Tweets not found!
UCmyD0_-2Oowkfwc_Raghclw,hbth2oj9qS0,hbth2oj9qS0,,,,,True,Tweets not found!
